artist,name,id,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
DaBaby,ROCKSTAR (feat. Roddy Ricch),7ytR5pFWmSjzHJIeQkgog4,2020-04-17,100,0.746,0.69,11,-7.956,1,0.164,0.247,0.0,0.101,0.497,89.977,181733,4
The Weeknd,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,2020-03-20,99,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040,4
Jawsh 685,Savage Love (Laxed - Siren Beat),1xQ6trAsedVPCdbtDAmk0c,2020-06-11,97,0.767,0.481,0,-8.52,0,0.0803,0.234,0.0,0.269,0.761,150.076,171375,4
Harry Styles,Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,2019-12-13,96,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,174000,4
Topic,Breaking Me,3H7ihDc1dqLriiWXwsc2po,2019-12-19,95,0.789,0.72,8,-5.652,0,0.218,0.223,0.0,0.129,0.664,122.031,166794,4
Powfu,death bed (coffee for your head),7eJMfftS33KTjuF7lTsMCx,2020-02-08,95,0.726,0.431,8,-8.765,0,0.135,0.731,0.0,0.696,0.348,144.026,173333,4
Surf Mesa,ily (i love you baby) (feat. Emilee),62aP9fBQKYKxi7PDXwcUAS,2019-11-26,94,0.674,0.774,11,-7.567,0,0.0892,0.0686,0.00188,0.393,0.33,112.05,176547,4
StaySolidRocky,Party Girl,5RqR4ZCCKJDcBLIn4sih9l,2020-04-21,93,0.728,0.431,6,-9.966,0,0.0622,0.749,0.0,0.0996,0.629,130.022,147800,4
Jack Harlow,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",2MbdDtCv5LUVjYy9RuGTgC,2020-06-24,93,0.904,0.723,11,-5.224,0,0.26,0.0631,0.0,0.185,0.835,145.013,227478,4
Nio Garcia,La Jeepeta - Remix,1mohfLaTJtB2RplHLQVM70,2020-04-24,93,0.815,0.715,4,-4.65,0,0.207,0.3,4.83e-06,0.091,0.786,176.007,345241,4
Tones And I,Dance Monkey,2XU0oxnq2qxCpomAAuJY8K,2019-10-17,93,0.824,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027,209438,4
Ariana Grande,Stuck with U (with Justin Bieber),4HBZA5flZLE435QTztThqH,2020-05-08,93,0.597,0.45,8,-6.658,1,0.0418,0.223,0.0,0.382,0.537,178.765,228482,3
Taylor Swift,cardigan,4R2kfaDFhslZEMJqAFNpdd,2020-07-24,93,0.613,0.581,0,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033,239560,4
BENEE,Supalonely,4nK5YrxbMGZstTLbvj6Gxw,2019-11-15,92,0.863,0.631,7,-4.689,1,0.0534,0.305,3.04e-05,0.123,0.817,128.977,223480,4
Roddy Ricch,The Box,0nbXyq5TXYPCO7pr3N8S4I,2019-12-06,92,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,196653,4
Taylor Swift,exile (feat. Bon Iver),4pvb0WLRcMtbPGmtejJJ6y,2020-07-24,92,0.298,0.38,6,-8.426,1,0.0287,0.778,5.62e-05,0.11,0.152,75.602,285634,4
Lady Gaga,Rain On Me (with Ariana Grande),24ySl2hOPGCDcxBxFIqWBu,2020-05-22,92,0.672,0.855,9,-3.764,1,0.0397,0.021,0.0,0.323,0.646,123.056,182200,4
Ozuna,Caramelo,3gD4J3RUHy4OUuZ3qAiaiG,2020-06-11,92,0.728,0.806,6,-3.766,1,0.0623,0.0531,0.000301,0.153,0.698,168.084,217547,4
ROSALÍA,TKN (feat. Travis Scott),4w47S36wQGBhGg073q3nt7,2020-05-28,92,0.776,0.509,0,-6.266,0,0.467,0.192,1.49e-06,0.115,0.485,94.634,129371,4
KAROL G,Tusa,7k4t7uLgtOxPwTpFmtJNTY,2019-11-07,91,0.803,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085,200960,4
Rauw Alejandro,Tattoo - Remix with Camilo,4ZRrLHqzhGRXYj2qcB4s5S,2020-07-09,91,0.848,0.637,9,-5.132,1,0.156,0.0413,0.0,0.0521,0.698,96.988,222680,4
Post Malone,Circles,21jGcNKet2qwijlDFuPiPb,2019-09-06,91,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280,4
Jay Wheeler,La Curiosidad,4HYDUMY0xSpeBr0AMY9cUz,2020-06-12,91,0.845,0.677,11,-4.798,0,0.136,0.269,0.000917,0.108,0.68,90.013,219048,4
Marshmello,Be Kind (with Halsey),3Z8FwOEN59mRMxDCtb8N0A,2020-05-01,91,0.63,0.633,4,-7.088,1,0.0457,0.00776,0.0,0.0541,0.452,93.995,172762,4
J Balvin,UN DIA (ONE DAY) (Feat. Tainy),0EhpEsp4L0oRGM0vmeaN5e,2020-07-24,91,0.571,0.693,6,-8.234,0,0.0545,0.00536,0.0,0.173,0.393,168.169,232253,4
Chris Brown,Go Crazy,1IIKrJVP1C9N7iPtG6eOsK,2020-05-08,91,0.755,0.578,0,-8.932,0,0.145,0.316,0.0,0.25,0.581,94.148,176960,4
Lewis Capaldi,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,2019-05-17,91,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,182161,4
Tainy,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",1pqnQ41XbfKjaFu6M0eGJp,2020-07-09,91,0.76,0.658,7,-5.275,1,0.275,0.162,0.0,0.195,0.565,100.202,157944,4
Drake,Toosie Slide,127QTOFJsJQp5LbJbu3A1y,2020-04-03,91,0.834,0.454,1,-9.75,0,0.201,0.321,6.15e-06,0.114,0.837,81.618,247059,4
Pop Smoke,The Woo (feat. 50 Cent & Roddy Ricch),1H7KnK26kc1YyellpbINEn,2020-07-03,91,0.49,0.618,1,-5.655,1,0.104,0.0221,3.77e-06,0.259,0.286,99.7,201600,4
THE SCOTTS,THE SCOTTS,39Yp9wwQiSRIDOvrVg7mbk,2020-04-24,91,0.716,0.537,0,-7.648,0,0.0514,0.233,0.0,0.157,0.28,129.979,165978,4
Ava Max,Kings & Queens,76nqCfJOcFFWBJN32PAksn,2020-03-12,91,0.638,0.688,1,-4.056,0,0.0407,0.00775,0.0,0.126,0.434,129.856,162399,4
DJ Khaled,POPSTAR (feat. Drake),6EDO9iiTtwNv6waLwa1UUq,2020-07-17,91,0.8,0.56,5,-4.818,0,0.261,0.057,0.0,0.134,0.45,163.071,200221,4
Surfaces,Sunday Best,1Cv1YLb4q0RzL6pybtaMLo,2019-01-06,91,0.878,0.525,5,-6.832,1,0.0578,0.183,0.0,0.0714,0.694,112.022,158571,4
Travis Scott,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,2019-10-04,90,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,175721,4
Doja Cat,Say So,3Dv1eDb0MEgF93GpLXlucZ,2019-11-07,90,0.787,0.673,11,-4.577,0,0.158,0.256,3.57e-06,0.0904,0.786,110.962,237893,4
Black Eyed Peas,MAMACITA,14wf185UxfNbSy8dwt4r4q,2020-04-10,90,0.894,0.635,2,-6.929,1,0.0473,0.193,0.00105,0.0823,0.428,105.013,249143,4
6ix9ine,GOOBA,4NhDYoQTYCdWHTvlbGVgwo,2020-05-08,90,0.611,0.688,1,-5.688,1,0.341,0.0264,0.0,0.251,0.393,178.462,132303,4
